chro	tsne_p50_1	tsne_p50_2	tsne_p100_1	tsne_p100_2	tsne_p250_1	tsne_p250_2	tsne_p1000_1	tsne_p1000_2
AGAP000714	X	-27.15278303	-109.7995192	-64.13592289	55.00179635	-8.124033791	17.87462585	-0.607052412	-4.917589337
AGAP000715	X	3.481812798	-74.9696775	-49.61848324	24.66606197	-9.316392218	9.531192394	0.955519404	1.965149189
AGAP000717	X	-22.44219875	-105.8881489	-61.56305247	49.82336924	-7.202160933	16.60713484	-0.424381318	2.132928873
AGAP000718	X	29.09908783	-25.05019302	-15.50488421	-1.396348272	-3.752268125	4.338108298	0.145661955	0.200621482
AGAP000719	X	-19.82580734	-102.8749939	-60.5171887	46.90536619	-6.466168954	16.22347342	-1.162504067	2.045336127
AGAP000720	X	-65.01437914	-110.9360715	-50.73458605	79.52071041	-5.895974888	23.34295844	-1.363081041	-4.992439113
AGAP000721	X	-48.98425823	32.06644346	5.741809237	54.65763935	7.773908639	12.38179327	-1.569394077	-1.67995202
AGAP000723	X	-42.59738979	-86.92619364	-53.718986	48.57896548	-4.74179974	17.17347893	-1.079985535	-3.537523899
AGAP000724	X	-61.74105011	-109.5027651	-50.02148652	77.08124618	-4.999480024	22.66076061	-1.456773783	-4.582025347
AGAP000725	X	10.05140464	-74.10110463	-47.44158496	29.01409911	-9.933200737	10.72305864	-0.307929979	-1.787330444
AGAP000726	X	-72.65278849	-88.87009256	-25.62224945	66.50312752	0.209923467	19.07038918	-1.761434772	-2.602048091
AGAP000727	X	-58.72220432	-119.4906222	-58.50204531	79.34270809	-7.029269223	24.07107942	-1.297839408	-5.322497978
AGAP000728	X	-33.96204313	-93.54135642	-53.51833527	57.39282019	-10.14598107	17.59589951	0.838591587	-1.040565637
AGAP000729	X	17.52466224	-7.715788115	1.625386701	2.665785447	-0.394874911	2.736199775	0.048593792	0.076520515
AGAP000730	X	34.78569681	3.857320051	-21.81171153	-15.99711393	1.611795801	2.097016592	0.063198897	0.20855789
AGAP000731	X	-63.38364524	-86.10366579	-30.96528422	63.65202042	-1.18364455	18.77043294	-1.712278826	-1.954381166
AGAP000732	X	-69.51454958	-91.6629684	-26.73938567	69.7302382	-0.420353854	19.97180509	-2.00717062	-3.034880667
AGAP000733	X	10.47136034	-58.86289878	-32.21996125	-3.909147282	-4.867771515	5.653781119	0.894343008	0.236634569
AGAP000734	X	-33.67837666	-105.2914433	-54.35112888	59.28806955	-6.859070613	18.29408621	-0.85371306	-4.005644531
AGAP000735	X	-62.61629269	-106.5550041	-46.79612407	76.59935885	-4.646453512	22.37477319	-1.470030544	-4.529804614
AGAP000736	X	38.66237969	3.252653499	-15.03816645	-22.66087197	2.252015959	1.734794916	-0.279747097	0.816935212
AGAP000737	X	-35.30980889	-124.801298	-37.33339494	90.93672374	-10.2316289	21.04320922	-0.065175871	-4.180712603
AGAP000738	X	8.148176882	-40.77097398	-24.35456026	6.060029284	-5.542075887	3.11192042	0.211675789	0.338996854
AGAP000739	X	-41.96131315	-92.46191365	-49.76900994	53.21098706	-5.968496928	17.28975897	-0.148133288	-0.719941174
AGAP000741	X	37.92760456	10.84021203	-21.67928835	-19.5494721	2.774057608	2.464094118	0.003605934	0.366103976
AGAP000742	X	-52.07462324	24.68001362	-5.481696734	47.27606355	3.940777008	11.41270543	-0.937619943	-0.838154057
AGAP000743	X	-44.59109127	-79.82738093	-33.48236765	54.35928833	-2.684201126	16.75190734	-1.106153304	-2.58141357
AGAP000744	X	-51.9172705	-112.79297	-56.03152189	72.95925464	-7.815840628	22.24748924	-0.969918902	-5.135594582
AGAP000745	X	-42.51452445	-87.60148256	-54.76565245	48.35639606	-4.898741665	17.10504748	-1.725794754	2.142992615
AGAP000747	X	-65.2864027	-116.0332511	-52.96931018	82.13879032	-6.019508841	24.09290346	-1.433310682	-5.240622572
AGAP000748	X	-45.93507238	-40.01868457	25.25326768	10.29624237	6.439602304	-0.207312104	2.117310988	0.580418295
AGAP000751	X	-13.48757292	-3.226771937	4.87122504	7.526842153	1.236844463	1.38513588	0.442355946	-0.126930238
AGAP000752	X	5.388919285	-61.52096886	-42.55047669	13.76442777	-7.514435615	5.677738708	0.617574029	1.260905907
AGAP000754	X	-58.72330235	-115.8094288	-55.24880893	77.96943735	-6.357270449	23.03849586	-1.225930914	-4.986207377
AGAP000755	X	-14.55586974	18.9551076	-7.22949965	46.50225441	3.209117428	12.12702548	-1.620528471	-0.869002187
AGAP000756	X	-52.52712065	-92.11223068	-41.45789164	59.00865956	-3.02196101	20.05477397	-1.131584949	-3.837365339
AGAP000757	X	60.95355582	33.47595676	-32.03776932	-35.36008986	12.20242648	-10.21582748	-1.33424318	2.735233093
AGAP000758	X	-63.7886963	-108.2779823	-47.80332309	77.51691224	-4.907037784	22.51324386	-1.360411234	-4.599596887
AGAP000759	X	-31.01358498	-100.8936622	-59.7750085	54.11993973	-7.658231918	17.348683	-0.53603116	-4.055120245
AGAP000760	X	-30.35418105	-85.42694625	-54.68902511	46.41411528	-4.923791508	16.11243214	-1.186661038	-2.924345391
AGAP000761	X	-52.09766232	22.22467932	-3.289247582	49.37346205	3.774299966	13.38988923	-1.374107693	-1.684987299
AGAP000762	X	-29.53610428	-109.1094802	-63.67203639	56.46173221	-7.853318447	18.39696571	-0.789521729	-4.862003304
AGAP000763	X	-27.36981274	-100.3171484	-58.39511927	56.89632045	-9.402098069	16.74570209	1.578133596	-1.031194706
AGAP000765	X	-34.63492016	-116.9341268	-65.55685581	62.66539739	-9.77680783	19.34844458	-0.293367986	-4.351375366
AGAP000767	X	-39.22442864	-94.07388555	-52.18304757	54.03637093	-8.21284368	16.99332451	-0.251867698	-3.013256148
AGAP000768	X	-1.367679944	-45.13893864	-29.40860293	8.389564741	-8.015832809	1.676084771	1.158692964	1.17138117
AGAP000769	X	-41.91227977	-93.20391959	-49.61058301	53.6810366	-5.929914021	17.15726798	-0.596335757	-3.050479547
AGAP000770	X	-30.09360834	-104.6741533	-68.42853861	57.08918702	-9.998940204	17.36257458	3.094134048	0.307007374
AGAP000771	X	-60.49840301	-88.89233815	-37.26326953	66.45608455	-3.255996747	19.38415446	-1.389064825	-3.373329185
AGAP000772	X	2.039472557	-87.98942942	-63.69790647	19.06554333	-7.852047678	11.57879508	-0.107898732	2.18697977
AGAP000773	X	-58.10628863	-106.7534753	-46.81631984	71.64163244	-4.834498895	21.65527272	-0.683895645	-4.522963192
AGAP000774	X	-34.95497832	-118.2339454	-65.74919609	61.591802	-9.685342712	19.43617475	-0.403835503	-4.633982244
AGAP000776	X	-66.78757406	-114.1976068	-50.81499946	82.58410421	-5.034617714	23.57224876	-1.522273792	-4.840371053
AGAP000778	X	-21.9790855	-106.7535193	-61.91737335	49.35492847	-7.108099055	16.9418114	-0.835738297	-4.117822722
AGAP000779	X	-70.09707143	-97.16816367	-31.53512669	72.94712904	-1.487139146	21.26844419	-1.918891857	-3.925989291
AGAP000780	X	-7.87262595	-16.1480598	-11.38599385	16.24137001	-3.767275468	1.326996162	-0.090123631	-0.398575036
AGAP000781	X	25.35652389	-1.85853585	-15.90235269	-10.21463218	1.737697636	1.926975915	0.215802714	0.437946139
AGAP000782	X	-35.68718048	-100.3244664	-53.78664352	62.59161566	-9.586828061	18.65154895	-0.342964508	-3.514268224
AGAP000783	X	-61.21373313	-121.0345489	-57.64222255	81.3012302	-6.904895829	24.32517691	-1.304124479	-5.358365532
AGAP000784	X	-49.20655426	-31.61520311	45.8933347	29.66403639	-13.15357725	16.53133697	2.788892547	0.235862109
AGAP000785	X	-55.43443669	-98.94367377	-40.0258272	76.10969008	-2.780612895	22.19159067	-1.335200494	-3.405362923
AGAP000786	X	-45.41119014	-110.7001222	-56.56130884	67.6628483	-7.946689915	21.06515107	-0.925753868	-4.670144297
AGAP000787	X	-56.8056919	-90.55157958	-35.09185956	66.1882424	-1.469426293	18.10112596	-1.646973739	-3.102508019
AGAP000788	X	-32.7214839	-108.5563929	-56.64329832	60.44247493	-7.353679369	18.78675127	-0.585999388	-4.544781145
AGAP000789	X	12.47771492	103.6280557	45.8152658	-50.81407532	-10.01483097	-11.7216642	0.649749453	-3.137372198
AGAP000790	X	-22.2694626	23.4474486	2.076440561	43.43793958	5.089615793	9.732798251	-0.690704421	-0.717076505
AGAP000791	X	-55.56213884	25.00845183	-7.669542239	55.6095194	3.785468194	13.4998729	-1.82160891	-1.809440895
AGAP000792	X	-77.5523018	33.39357562	-21.39541835	71.02537388	1.05507999	20.28270464	-2.407238592	-2.461389345
AGAP000793	X	25.94445922	12.49942691	-15.38901339	-20.65456861	4.0438423	2.914728542	-0.415873632	0.500538339
AGAP000794	X	-86.70772875	15.79244004	17.41332727	70.93213321	11.73444916	13.01828142	-0.793152513	-1.994922957
AGAP000795	X	-43.21150096	-118.9352106	-62.5776509	69.32704053	-8.565470728	21.32789178	-0.878174038	-4.926800716
AGAP000797	X	-64.71786345	-101.0581903	-40.21313647	72.581946	-3.703304828	21.25602999	-1.442081906	-4.35473703
AGAP000798	X	-72.45836209	-93.38119817	-27.46611523	71.87124467	-0.661977555	20.83558261	-2.121765672	-3.365557392
AGAP000801	X	-71.17818762	-95.65415326	-30.20864553	73.65860928	-1.032772981	20.87426171	-2.076505416	-3.171280341
AGAP000803	X	-4.894798841	-107.7343885	-71.27638656	47.05132742	-12.10931239	16.6544068	-0.214317053	-3.565330484
AGAP000804	X	-10.35054946	-22.09667493	3.008283823	14.16204962	-2.543910733	1.925547371	0.521630531	-0.343088512
AGAP000805	X	-81.30112004	36.7438252	6.377627882	66.12690333	8.835611744	13.20412072	-1.891616635	-2.470387997
AGAP000806	X	-13.59064989	77.08442784	48.39446323	-26.39870885	2.36167766	15.79689815	-0.180274697	-2.623232283
AGAP000807	X	4.698115232	-75.77681639	-50.93937316	24.95660185	-9.458450385	10.15902939	0.835338648	2.283529411
AGAP000808	X	-77.0586611	38.76147537	-2.307158143	70.63792602	7.61182553	15.84026223	-2.400075129	-2.55314517
AGAP000809	X	37.87152789	-57.40856561	-55.99008588	1.766607009	-12.34893664	5.748540049	-0.15474392	-1.60418362
AGAP000810	X	-62.40939075	-125.0939256	-60.46731482	83.13922618	-7.316273774	24.9102409	-1.347667564	-5.60781201
AGAP000812	X	-33.95085692	-99.36325107	-58.04965868	60.99394448	-9.072501567	18.35418162	-0.430969616	-3.888553757
AGAP000813	X	15.04168007	-35.45722867	-20.47616315	10.65490847	-4.538250493	3.082180264	0.441493578	-0.91380644
AGAP000814	X	-36.69451069	-104.5988255	-53.20729232	60.91466965	-10.72854861	20.10300181	-0.332734674	-4.054196834
AGAP000815	X	-47.73973721	-93.38823745	-36.69439024	55.12719476	-3.415641038	17.79293192	-1.106951092	-3.018538121
AGAP000819	X	-155.4620559	-2.124804672	82.83622634	48.40599019	27.34120462	4.862365547	1.912281294	-5.055432993
AGAP000820	X	0.30769589	-47.82892613	-41.98599729	48.58257837	-10.12420197	12.41870188	0.619138063	-1.25449146
AGAP000821	X	-49.17329218	-31.80905237	46.03903825	29.69351137	-13.06901109	16.56961164	2.816089916	-0.041845605
AGAP000822	X	-5.174609832	-108.0955279	-71.25381452	47.3776909	-12.06406982	16.56385706	-0.051088027	1.958174589
AGAP000823	X	22.65089462	-82.09792309	-61.69616423	42.6917143	-15.49471549	11.29166007	0.065592289	-2.959937805
AGAP000824	X	1.452031388	-53.37844013	-38.29291147	7.238205978	-11.72875871	12.46105317	1.442472885	-0.66228271
AGAP000825	X	-20.57431747	-99.03265572	-73.48740262	56.17533107	-12.73134312	18.43579628	-0.987764581	-3.018933094
AGAP000826	X	-90.90365963	-68.34236308	61.15552913	70.42619925	-2.192009202	15.78099334	-0.142085599	-3.029019937
AGAP000829	X	-144.5151448	-20.1073967	71.95470396	75.31247488	24.7983696	10.4682951	1.164363742	-5.267905632
AGAP000830	X	-67.69626111	36.44253832	-3.50121504	64.87932405	5.82659785	14.578067	-1.972064689	-2.002784621
AGAP000831	X	-52.6658401	-76.62151237	-33.27319415	57.78275967	-2.993787469	16.18205543	0.744082779	-1.749424187
AGAP000832	X	-68.77582802	46.89508619	-8.19761302	52.16888371	4.51231244	12.55806777	-1.752980645	-1.328745437
AGAP000833	X	-141.0292621	-18.0242739	70.96933509	72.51420833	24.51513955	8.567997011	1.396529418	-4.941274897
AGAP000834	X	-139.9095605	-21.94519561	67.56913654	75.60415285	24.4492699	10.84214088	0.56365277	-4.984276773
AGAP000835	X	-141.7554581	-19.94112081	70.34253651	74.50849205	25.0236059	9.99687141	1.284382537	-5.319628393
AGAP000840	X	-136.6386068	-20.39313962	68.28482261	72.61308108	24.27642901	9.889176733	0.742467586	-5.230400783
AGAP000841	X	5.237588127	-32.08490018	-18.22065087	12.08930871	-2.758553328	4.062407026	-0.317252467	-0.813612044
AGAP000842	X	-149.5744556	-7.41824683	80.46709524	67.48175217	26.47793608	6.889274026	1.690620554	-5.07847128
AGAP000843	X	-135.3849141	-11.7971337	69.99653583	66.80637796	23.93984895	8.106059482	1.251920576	-4.848071532
AGAP000844	X	-9.030948468	-87.03131063	-64.9904724	22.15530333	-7.277499019	11.70275389	0.065991853	1.457718247
AGAP000847	X	-142.0518516	-22.56337102	69.55598173	76.55676221	24.45551729	11.56605084	0.407157497	-5.180856927
AGAP000848	X	-105.7842057	-5.929605412	-10.92987631	68.78202664	7.028633509	14.5198376	-2.139342157	-2.53827809
AGAP000849	X	40.89936781	15.40747938	-25.4846799	-22.33278767	3.08849959	3.135080551	-0.34075975	0.7718124
AGAP000850	X	-88.92135574	-79.24854692	-41.73107644	87.9548686	-3.13264338	25.44802788	2.154520042	-1.668007062
AGAP000851	X	-18.31483736	-13.84447086	11.68569461	1.599877086	2.920685443	-0.213214807	0.525502391	-0.255847425
AGAP000852	X	-8.842371351	-2.026346266	-6.98701442	21.04277093	-1.67568387	4.848949537	-0.066930621	-0.469479473
AGAP000853	X	-5.819664496	-108.1902928	-71.02548675	47.85494135	-12.03433089	16.76184537	-0.259306917	-3.863813225
AGAP000854	X	-81.60543561	37.50050207	6.442608566	65.66695745	9.036041148	13.11929594	-1.739713839	-2.668278222
AGAP000855	X	-68.31956131	47.71966964	-9.156571068	51.94515226	4.112677772	12.63092585	-2.0991214	-0.799193719
AGAP000856	X	-138.0861809	-1.384609565	75.6113576	59.0626222	23.9083756	5.983606372	1.929192424	-4.37408812
AGAP000857	X	-21.40218343	-98.53112947	-40.31557779	87.08702748	-12.55842839	18.40868603	2.614770438	-0.592956537
AGAP000858	X	-140.2187874	-6.157056139	76.22398168	61.99957424	24.65418239	6.632859938	1.681983711	-4.832255861
AGAP000859	X	-92.2953244	-78.47072938	73.16549886	51.72208631	11.22721577	-15.00925308	2.038779862	-3.883878688
AGAP000860	X	-76.41404377	-111.6263611	-49.26853957	89.07958875	-10.17263901	21.98272656	0.057690185	-5.182103029
AGAP000861	X	-144.7085611	-22.94348531	72.04937408	77.67115376	26.06838397	10.58608645	1.134665501	-5.600672197
AGAP000862	X	-60.5624313	-107.3127987	-49.60220991	74.69193967	-5.401022249	21.18085187	-1.061384499	-4.464917223
AGAP000863	X	-140.6985228	-6.904536919	76.07277457	62.63208509	24.78050378	6.672002904	1.751556778	-4.642527056
AGAP000864	X	-141.5298252	-4.107673381	72.5415517	63.83087268	24.22524168	7.485013208	1.130927595	-4.700784835
AGAP000865	X	-89.40550652	-81.01349926	-43.6234947	87.57807751	-3.684088673	24.99463728	-1.013311176	-4.905715456
AGAP000866	X	-47.71560418	-6.464651491	38.92286427	11.33095544	10.55888266	-0.232281103	1.149032837	-0.575345153
AGAP000867	X	-20.31695349	-10.55944751	15.20448372	14.89865813	6.506957981	1.469278438	0.655124091	-0.347332847
AGAP000868	X	-42.78536963	-100.292805	-47.41027308	60.27848695	-5.845839334	18.54222786	-0.912133157	-3.873836732
AGAP000869	X	-69.80852171	-99.65306834	-34.58991994	74.85663235	-2.03862497	21.52801159	-1.851162082	-3.858531798
AGAP000870	X	-58.74810336	-102.8518471	-45.05245506	74.31272807	-4.350672201	21.83466254	-1.222548401	-4.620592119
AGAP000871	X	-46.61498465	-88.10983799	-45.90933981	54.10700097	-4.994555043	17.59597362	-0.603924979	-3.348211978
AGAP000874	X	-66.18862985	-102.9740939	-42.11323262	68.87171987	-3.964490616	20.57300909	-1.233822288	-4.112995703
AGAP000875	X	-67.6102205	-119.0361487	-54.12213803	84.52061834	-5.860985004	24.64406675	-1.188753186	-5.356579357
AGAP000876	X	-56.54462952	104.3056414	71.90292415	-13.6063326	11.72337078	-18.04198744	2.452829761	-3.055501911
AGAP000877	X	-129.3418631	1.601474653	70.38229305	54.69309716	22.12846271	6.002853129	1.945258987	-3.856221266
AGAP000878	X	-75.06015923	-103.3941374	-45.3511924	83.68262449	-2.488881934	21.67040128	-0.279911899	-5.032151653
AGAP000879	X	-51.83612496	22.18195129	-3.577232366	49.36913843	3.156488621	13.57609679	-1.121660599	-2.116616042
AGAP000880	X	22.67573726	-46.8536118	-27.33378051	-5.299827493	-2.804958386	-2.643985174	0.641557195	0.765209489
AGAP000881	X	-23.45369253	-108.1893173	-62.53928011	51.05141811	-7.341424161	17.42928264	-0.763976358	-4.555279725
AGAP000882	X	-89.74014393	-79.70392105	-42.50347184	88.46479024	-3.214606618	25.57727222	0.64527742	-4.632130174
AGAP000883	X	5.86589607	-50.98393148	-33.26737552	5.180075366	-5.516837367	4.95144203	0.349029726	1.091647384
AGAP000884	X	-42.97871778	-119.7992489	-63.21067576	69.15437627	-8.522389776	21.35924426	-0.900454878	-4.877349576
AGAP000885	X	-90.58159899	-79.37453554	-42.63537	89.0715232	-3.219710075	25.65317166	0.315480237	-4.705981672
AGAP000886	X	-50.73297519	30.6305183	3.039962113	53.70451251	7.099427179	12.27659512	-1.920757643	-1.838232888
AGAP000887	X	-65.30389758	-103.5954114	-43.15702039	68.93539337	-4.531266459	20.58475069	-1.091345102	-4.23803415
AGAP000888	X	16.28306275	-23.7286498	-15.33826843	2.647126161	-4.494769188	2.200579663	-0.119713201	-0.591988649
AGAP000889	X	-37.94004	-5.334474832	16.56683159	-6.229794478	1.534614755	-1.947455879	0.099561523	-0.339176852
AGAP000890	X	-29.03167164	-86.64894652	-56.03102849	46.72171098	-4.97559606	16.17776097	-1.038527099	1.591402513
AGAP000891	X	-46.34185548	-115.9278292	-59.79878819	68.16297013	-7.158317798	20.57473211	-0.979034019	-4.615439599
AGAP000892	X	-0.480565046	-44.28531865	-28.23376556	8.531603379	-5.12772952	1.40531688	0.272093803	0.18750895
AGAP000893	X	-146.1896676	-25.35844053	72.51008857	79.86407345	26.85617441	11.09093508	1.105507528	-6.159521252
AGAP000894	X	-56.16609412	-116.6419687	-56.53144306	76.82773889	-6.556003116	22.81984268	-1.081063026	-5.081950357
AGAP000896	X	-132.7302357	-2.056195941	72.84043094	57.37095108	23.19642873	6.322372378	1.864025065	-4.128067314
AGAP000897	X	-10.6130409	21.73732755	-2.082269793	41.42461497	3.252945404	10.47581619	-1.098932258	-0.578750836
AGAP000898	X	-147.9386132	-25.47824635	73.70053751	80.43787671	26.87663315	11.05830738	1.065960604	-6.09436614
AGAP000899	X	-8.377474405	-4.120627616	-1.801354739	17.62704601	0.805474949	5.040797064	-0.386003172	-0.888423768
AGAP000900	X	13.74058517	-56.86869572	-33.52335249	-0.969559472	-4.033427922	5.186995016	-0.170873877	1.95229198
AGAP000901	X	3.433981355	-106.491842	-73.42066455	52.35045736	-12.45799484	17.43328244	1.720775928	-1.60575335
AGAP000903	X	-141.8596416	-21.87912794	69.71204744	75.98375379	24.93754692	10.63160096	1.05053902	-5.296613086
AGAP000904	X	-148.2783935	-26.17358243	73.74787801	81.03758158	26.93828441	11.3020336	0.269539058	-6.094156678
AGAP000906	X	-137.3860118	3.126137076	53.18916157	-20.31410367	6.220554581	-14.220209	1.562873166	-2.747519026
AGAP000907	X	-41.98822207	-109.3369601	-59.42964119	66.89685736	-7.336745466	20.14224642	-0.904604906	-4.521993685
AGAP000908	X	-77.04525258	-109.6123798	-47.88378128	87.83320342	-9.615907592	21.31474687	0.005911106	-4.83578047
AGAP000909	X	-138.8917389	4.107899332	77.99904402	55.32767958	5.730663993	-14.22636517	1.786984081	-4.055000803
AGAP000911	X	63.06546415	37.24852772	-32.36447538	-37.7813497	12.749936	-10.72773386	-1.143305922	2.816388964
AGAP000912	X	-142.7450162	-15.86074192	72.97030381	71.4729371	25.25296759	9.00318372	1.168727242	-5.460307072
AGAP000913	X	-77.67239598	-103.6170526	-43.4078484	83.57200389	-4.737368592	19.15891004	-0.09619488	-4.377895935
AGAP000915	X	43.8334679	-44.68592281	10.19787618	-23.5394746	-5.024051773	-3.406120115	0.87840063	-0.105697835
AGAP000922	X	-12.48530331	-107.6310157	-67.33452972	47.5609557	-8.730016434	16.28043098	-1.028671275	2.729833303
AGAP000923	X	-37.1350581	-102.8752701	-52.25680413	60.78417189	-9.360763457	15.30613541	-0.350613653	-3.787375028
AGAP000924	X	-77.66556829	-103.6105695	-43.41356764	83.58070195	-4.735597651	19.00956001	0.113471729	-4.337665076
AGAP000926	X	-54.08375347	-125.7375605	-63.42484227	78.56866116	-8.38446982	23.52391248	-0.895915065	-5.460459951
AGAP000927	X	-10.15507106	-99.53717599	-62.87816401	45.64717972	-7.609034302	15.83110154	-0.283971053	-3.393424438
AGAP000928	X	-136.0545231	-19.0220262	68.65604084	71.47159152	24.04933231	9.571044871	1.090103851	-4.95916321
AGAP000929	X	-139.1246708	-23.80640824	67.57657383	77.298835	25.07651513	11.03501329	-0.039191505	-5.456550332
AGAP000930	X	-141.9176171	-15.80045321	72.55369353	71.16826383	25.12859429	8.923443199	1.217575659	-5.352447384
AGAP000931	X	-135.6117102	-3.229335039	72.49891397	59.30779628	23.42441819	6.818465745	1.64168465	-4.263824902
AGAP000932	X	-147.5140823	-22.12278214	74.33191902	77.78249439	26.55394656	10.19423018	1.494476328	-5.641522556
AGAP000933	X	-133.4780798	-3.9108971	70.57713323	59.56155953	23.33261148	6.58571454	1.330768029	-3.748542216
AGAP000934	X	-146.5821915	-22.22830848	73.72303465	77.53674108	26.49310763	10.13790963	1.471943455	-5.686767613
AGAP000935	X	-135.6177429	-3.920666997	72.35505015	59.62096164	23.20689377	6.761055859	1.756280073	-4.17587949
AGAP000937	X	-137.7104946	-3.274340321	74.33311354	60.17446348	24.06795971	6.816698261	1.758591095	-4.754082165
AGAP000938	X	-12.51315613	10.13730947	-10.58018071	36.5134842	0.367905917	5.935270015	-0.347567546	-1.601667707
AGAP000939	X	-140.8588743	-7.663009932	75.68876736	63.22315267	24.86027513	7.238835879	1.654493404	-4.812412203
AGAP000940	X	-140.2024743	-8.783037607	74.9672426	63.59931492	25.03310192	7.272882252	1.641221633	-5.205363943
AGAP000941	X	-138.4289391	-2.442443732	75.40527256	60.08881657	24.36037431	6.507457831	1.785870133	-4.647617767
AGAP000942	X	-59.49954109	-82.78211954	-32.04661585	62.0094946	-1.985658492	18.37336289	-1.193924131	-2.857540221
AGAP000943	X	-59.97243127	-82.30659228	-32.09750768	61.26776089	-2.372157386	17.85524216	0.058968025	-1.047540826
AGAP000944	X	11.35366511	-56.96054227	-44.65584942	45.38555759	-3.645434175	15.25775345	0.100240183	-3.099825314
AGAP000945	X	-146.420034	-23.78620041	73.11608293	78.73260213	26.58771442	10.65477167	1.235751383	-5.827094951
AGAP000946	X	-136.1918673	-3.113010036	72.97027514	59.26612594	23.41894413	6.556652014	1.88289592	-4.060600854
AGAP000947	X	-35.66752548	-60.59505361	17.16423251	19.70756408	-13.44562788	9.327051034	0.89874344	0.314535141
AGAP000948	X	-43.13788805	98.86069441	70.85428477	-20.41879105	9.089450023	-16.17546004	2.192564642	-3.33430139
AGAP000949	X	-43.23807452	98.67008842	70.9092424	-20.22296875	9.278483918	-16.07598342	2.211191163	-3.386486506
AGAP000950	X	-133.1860205	-1.264311161	72.61355026	57.08254558	23.12198153	6.20047797	2.07057084	-4.010153103
AGAP000951	X	-42.26267345	27.86374119	8.893105168	51.8850824	8.119018814	11.41455434	-1.125866508	-1.396446125
AGAP000952	X	-3.208255189	-5.466739321	-6.190087091	8.681134756	-0.800406616	3.147211452	0.088629977	0.175384973
AGAP000953	X	-137.3509823	3.265096284	53.24046099	-20.49395208	6.243877741	-14.28306294	1.672793814	-2.654907875
AGAP000954	X	-133.2106239	-7.242623423	69.80879105	61.42754071	23.49183778	6.838636827	1.462240621	-3.653251889
AGAP000955	X	-142.1876964	-15.36258744	72.86506793	70.82096308	25.11032941	8.579250845	1.327563409	-5.242262738
AGAP000957	X	-58.21899804	-77.05994647	15.02668276	14.74773918	-1.844000363	17.76158334	-0.191427189	-2.750103702
AGAP000958	X	-156.1628815	-16.91124531	81.98689984	76.69428542	28.09485812	9.087983582	1.57244689	-6.132875335
AGAP000960	X	-139.2108306	-22.51884027	67.29130217	75.93233582	24.55139302	10.76078898	0.775980915	-5.290153098
AGAP000961	X	-140.6185745	-10.20244492	73.67089556	69.60077699	25.15705103	8.140652319	1.398543601	-5.322443997
AGAP000962	X	-135.7147153	-9.572307891	70.99203819	65.15554722	5.757843959	4.04163998	-0.955488974	0.591488199
AGAP000963	X	-132.8696096	-13.88434479	67.35302393	66.05179073	1.391934856	5.107415369	0.179119866	-0.841913597
AGAP000964	X	-59.90200687	-83.15405705	-32.07191335	61.54997512	3.322655751	13.19468822	-0.968299028	-1.331505881
AGAP000965	X	57.36561081	24.27510358	-26.19418809	-33.60446742	11.45864105	-8.665261971	-1.106310067	2.371929479
AGAP000966	X	-134.7376513	-18.77501308	67.90103612	70.81692183	23.45051034	9.703118122	-0.670034767	-2.85583514
AGAP000967	X	-149.5365824	-13.09011501	78.54773021	71.90637182	26.54935968	8.47637876	1.534397287	-5.639554133
AGAP000968	X	-10.79656742	-100.2719128	-63.45657749	45.17996199	-7.945228227	15.64706013	-0.160963165	-4.238487587
AGAP000969	X	-146.8716837	-11.85518695	77.17612185	70.23036653	25.98829916	8.422478896	1.477635937	-5.47628884
AGAP000970	X	-3.836023945	-8.391104348	3.356118417	9.640137386	-1.608837954	-0.965389726	0.305011599	-0.814522947
AGAP000971	X	-150.8776804	-12.4004691	79.90985065	71.74239357	26.76368973	8.392255743	1.579472537	-5.671192325
AGAP000973	X	-145.2260439	-13.72295894	75.55355149	70.92664579	26.10097961	8.65352334	1.454597513	-5.581339354
AGAP000974	X	-156.905173	-16.01725795	82.67156077	76.31861435	28.07432091	9.031007472	1.568519766	-6.094821017
AGAP000975	X	-131.8326726	-15.63563429	65.66669004	66.59753932	1.394548313	5.243499307	0.166040196	-2.274818411
AGAP000976	X	-6.919546143	-15.85444261	-11.39263043	14.97671858	-3.353700801	1.359691817	0.12971772	-0.106612365
AGAP000977	X	-134.2408074	-13.9725218	67.9945902	66.82170486	23.88837145	8.161324965	1.336846747	-4.689484321
AGAP000978	X	-136.8235136	-27.80048403	65.06860183	69.77677504	24.31997723	9.315895563	1.201446224	-5.003952865
AGAP000979	X	-136.8656685	-27.75027398	65.08473036	69.7898814	24.35305852	9.309645535	1.215416499	-4.962860223
AGAP000981	X	-157.1552192	-17.80548193	82.41329729	77.62420625	28.31333685	9.208502452	1.5826313	-6.195832676
AGAP000982	X	-133.8078576	-13.45454062	68.07261688	66.37013492	23.86969938	8.099794922	1.260191479	-4.338986759
AGAP000983	X	-157.8937027	-16.73290014	83.33099301	76.97147097	28.35391291	9.157342822	1.579005277	-6.209058622
AGAP000984	X	-159.7195789	-18.6806685	83.96597204	79.00405155	28.68715118	9.323391928	1.609889311	-6.327271597
AGAP000985	X	23.78015765	-11.13895615	-17.94241425	-8.048559775	2.603688595	1.59033555	0.151260608	0.8941696
AGAP000986	X	53.78588472	29.46703563	-31.86016458	-24.87533176	11.79578441	-7.774634665	-0.649032485	2.099396227
